ID,PrimaryStreetSuffixName,CommonlyUsed,PostalServiceStandardSuffixAbbreviation
180,FREEWAY,FREEWY,FWY
181,FREEWAY,FRWAY,FWY
182,FREEWAY,FRWY,FWY
183,FREEWAY,FWY,FWY
184,GARDEN,GARDEN,GDN
185,GARDEN,GARDN,GDN
186,GARDEN,GDN,GDN
187,GARDEN,GRDEN,GDN
188,GARDEN,GRDN,GDN
189,GARDENS,GARDENS,GDNS
190,GARDENS,GDNS,GDNS
191,GARDENS,GRDNS,GDNS
192,GATEWAY,GATEWAY,GTWY
193,GATEWAY,GATEWY,GTWY
194,GATEWAY,GATWAY,GTWY
195,GATEWAY,GTWAY,GTWY
196,GATEWAY,GTWY,GTWY
197,GLEN,GLEN,GLN
198,GLEN,GLN,GLN
199,GLENS,GLENS,GLNS
200,GREEN,GREEN,GRN
201,GREEN,GRN,GRN
202,GREENS,GREENS,GRNS
203,GROVE,GROV,GRV
204,GROVE,GROVE,GRV
205,GROVE,GRV,GRV
206,GROVES,GROVES,GRVS
207,HARBOR,HARB,HBR
208,HARBOR,HARBOR,HBR
209,HARBOR,HARBR,HBR
210,HARBOR,HBR,HBR
211,HARBOR,HRBOR,HBR
212,HARBORS,HARBORS,HBRS
213,HAVEN,HAVEN,HVN
214,HAVEN,HAVN,HVN
215,HAVEN,HVN,HVN
216,HEIGHTS,HEIGHT,HTS
217,HEIGHTS,HEIGHTS,HTS
218,HEIGHTS,HGTS,HTS
219,HEIGHTS,HT,HTS
220,HEIGHTS,HTS,HTS
221,HIGHWAY,HIGHWAY,HWY
222,HIGHWAY,HIGHWY,HWY
223,HIGHWAY,HIWAY,HWY
224,HIGHWAY,HIWY,HWY
225,HIGHWAY,HWAY,HWY
226,HIGHWAY,HWY,HWY
227,HILL,HILL,HL
228,HILL,HL,HL
229,HILLS,HILLS,HLS
230,HILLS,HLS,HLS
231,HOLLOW ,HLLW,HOLW
232,HOLLOW ,HOLLOW,HOLW
233,HOLLOW ,HOLLOWS,HOLW
234,HOLLOW ,HOLW,HOLW
235,HOLLOW ,HOLWS,HOLW
236,INLET,INLET,INLT
237,INLET ,INLT,INLT
238,ISLAND,IS,IS
239,ISLAND ,ISLAND,IS
240,ISLAND ,ISLND,IS
241,ISLANDS,ISS,ISS
242,ISLANDS ,ISLANDS,ISS
243,ISLANDS ,ISLNDS,ISS
244,ISLE,ISLE,ISLE
245,ISLE ,ISLES,ISLE
246,JUNCTION,JCT,JCT
247,JUNCTION,JCTION,JCT
248,JUNCTION,JCTN,JCT
249,JUNCTION,JUNCTION,JCT
250,JUNCTION,JUNCTN,JCT
251,JUNCTION,JUNCTON,JCT
252,JUNCTIONS,JCTNS,JCTS
253,JUNCTIONS,JCTS,JCTS
254,JUNCTIONS,JUNCTIONS,JCTS
255,KEY,KEY,KY
256,KEY,KY,KY
257,KEYS,KEYS,KYS
258,KEYS,KYS,KYS
259,KNOLL,KNL,KNL
260,KNOLL,KNOL,KNL
261,KNOLL,KNOLL,KNL
262,KNOLLS,KNLS,KNLS
263,KNOLLS,KNOLLS,KNLS
264,LAKE,LAKE,LK
265,LAKE,LK,LK
266,LAKES,LAKES,LKS
267,LAKES,LKS,LKS
268,LAND,LAND,LAND
269,LANDING,LANDING,LNDG
270,LANDING,LNDG,LNDG
271,LANDING,LNDNG,LNDG
272,LANE,LA,LN
273,LANE,LANE,LN
274,LANE,LANES,LN
275,LANE,LN,LN
276,LIGHT,LGT,LGT
277,LIGHT,LIGHT,LGT
